1	Tokyo	Japan	31480498	35.685	139.751
2	Shanghai	China	14608512	31.0456	121.4
3	Bombay	India	12692717	18.975	72.8258
4	Karachi	Pakistan	11627378	24.9056	67.0822
5	Delhi	India	10928270	28.6667	77.2167
6	New Delhi	India	10928270	28.6	77.2
7	Manila	Philippines	10443877	14.6042	120.982
8	Moscow	Russian Federation	10381288	55.7522	37.6156
9	Seoul	South Korea	10323448	37.5985	126.978
10	São Paulo	Brazil	10021437	-23.4733	-46.6658
11	Istanbul	Turkey	9797536	41.0186	28.9647
12	Lagos	Nigeria	8789133	6.45306	3.39583
13	Mexico	Mexico	8720916	19.4342	-99.1386
14	Jakarta	Indonesia	8540306	-6.17444	106.829
15	New York	United States	8107916	40.7142	-74.0064
16	Kinshasa	Congo-Kinshasa	7787832	-4.3	15.3
17	Cairo	Egypt	7734602	30.05	31.25
18	Lima	Peru	7646786	-12.05	-77.05
19	Peking	China	7480601	39.9289	116.388
20	London	United Kingdom	7421228	51.5141	-0.093689
21	Bogotá	Colombia	7102602	4.64918	-74.0628
22	Dhaka	Bangladesh	6493177	23.7231	90.4086
23	Lahore	Pakistan	6312576	31.5497	74.3436
24	Rio de Janeiro	Brazil	6023742	-22.9	-43.2333
25	Baghdad	Iraq	5672516	33.3386	44.3939
26	Bangkok	Thailand	5104475	13.754	100.501
27	Bangalore	India	4931603	12.9833	77.5833
28	Santiago	Chile	4837248	-33.45	-70.6667
29	Calcutta	India	4631819	22.5697	88.3697
30	Toronto	Canada	4612187	43.6667	-79.4167
31	Rangoon	Myanmar	4477782	16.7833	96.1667
32	Sydney	Australia	4394585	-33.8615	151.205
33	Madras	India	4328416	13.0833	80.2833
34	Wuhan	China	4184206	30.5801	114.273
35	Saint Petersburg	Russian Federation	4039751	59.8944	30.2642
36	Chongqing	China	3967028	29.5628	106.553
37	Xian	China	3953191	34.2583	108.929
38	Chengdu	China	3950437	30.6667	104.067
39	Los Angeles	United States	3877129	34.0522	-118.243
40	Alexandria	Egypt	3811512	31.1981	29.9192
41	Tianjin	China	3766207	39.1422	117.177
42	Melbourne	Australia	3730212	-37.8139	144.963
43	Ahmadabad	India	3719933	23.0333	72.6167
44	Abidjan	Côte d’Ivoire	3692570	5.30966	-4.01266
45	Kano	Nigeria	3626204	11.9944	8.51381
46	Casablanca	Morocco	3609698	33.5928	-7.61916
47	Hyderabad	India	3598199	17.3753	78.4744
48	Ibadan	Nigeria	3565810	7.38778	3.89639
49	Singapore	Singapore	3547809	1.29306	103.856
50	Ankara	Turkey	3519177	39.9117	32.8403
51	Shenyang	China	3512192	41.7922	123.433
52	Riyadh	Saudi Arabia	3469290	24.6537	46.7152
53	Ho Chi Minh City	Viet Nam	3467426	10.75	106.667
54	Cape Town	South Africa	3433504	-33.9258	18.4232
55	Berlin	Germany	3398362	52.5167	13.4
56	Montreal	Canada	3268513	45.5	-73.5833
57	Harbin	China	3229883	45.75	126.65
58	Guangzhou	China	3152825	23.1167	113.25
59	Durban	South Africa	3120340	-29.8579	31.0292
60	Madrid	Spain	3102644	40.4086	-3.69222
61	Nanjing	China	3087010	32.0617	118.778
62	Kabul	Afghanistan	3043589	34.5167	69.1833
63	Pune	India	2935968	18.5333	73.8667
64	Surat	India	2894675	20.9667	72.9
65	Chicago	United States	2841952	41.85	-87.65
66	Kanpur	India	2823523	26.4667	80.35
67	Umm Durman	Sudan	2810328	15.6361	32.4372
68	Luanda	Angola	2776125	-8.8368	13.2332
69	Addis Abeba	Ethiopia	2757807	9.02432	38.7492
70	Nairobi	Kenya	2750561	-1.28333	36.8167
71	Taiyuan	China	2722475	37.7269	112.471
72	Jaipur	India	2711937	26.9167	75.8167
73	Salvador	Brazil	2711903	-12.9833	-38.5167
74	Dakar	Senegal	2702820	14.6708	-17.4381
75	Dar es Salaam	Tanzania	2698651	-6.8	39.2833
76	Rome	Italy	2643736	41.9	12.4833
77	Mogadishu	Somalia	2590180	2.06667	45.3667
78	Jiddah	Saudi Arabia	2545728	21.5169	39.2192
79	Changchun	China	2537421	43.88	125.323
80	Taipei	Taiwan	2514794	25.0392	121.525
81	Kiev	Ukraine	2514227	50.4333	30.5167
82	Faisalabad	Pakistan	2507302	31.4167	73.0833
83	Izmir	Turkey	2501895	38.4127	27.1384
84	Lakhnau	India	2472250	26.85	80.9167
85	Gizeh	Egypt	2443490	30.0086	31.2122
86	Fortaleza	Brazil	2416920	-3.31667	-41.4167
87	Cali	Colombia	2392897	3.43722	-76.5225
88	Surabaya	Indonesia	2374920	-7.24917	112.751
89	Belo Horizonte	Brazil	2373255	-19.9167	-43.9333
90	Mashhad	Iran	2307254	36.297	59.6062
91	Nagpur	India	2228191	21.15	79.1
92	Harare	Zimbabwe	2213701	-17.8178	31.0447
93	Brasília	Brazil	2207812	-15.7833	-47.9167
94	Santo Domingo	Dominican Republic	2202016	18.4667	-69.9
95	Nagoya	Japan	2191291	35.1802	136.907
96	Aleppo	Syria	2139878	36.2028	37.1586
97	Paris	France	2110694	48.8667	2.33333
98	Jinan	China	2069266	36.6683	116.997
99	Tangshan	China	2054526	37.3325	114.701
100	Dalian	China	2035307	38.9122	121.602
101	Houston	United States	2027712	29.7631	-95.3631
102	Johannesburg	South Africa	2026466	-26.2052	28.0498
103	Medellín	Colombia	2000001	6.25184	-75.5636
104	Algiers	Algeria	1980242	36.7631	3.05056
105	Tashkent	Uzbekistan	1978078	41.3167	69.25
106	Khartoum	Sudan	1974780	15.5881	32.5342
107	Accra	Ghana	1963460	5.55	-0.216667
108	Guayaquil	Ecuador	1952029	-2.16667	-79.9
109	Maracaibo	Venezuela	1948269	10.6317	-71.6406
